Price,TimeInsulated,Capacity,Cleanbility,Containment,TimeCost,CapacityCost,CleanabilityCost,ContainmentCost,TotalCost,TotalGM,MktShare,EPP,Revenue
$30,1 hrs,32 0z,Difficult,Leak Resistant,1.0,2.8,1.0,1.0,5.8,24.2,0.06638303080070046,1.6064693453769512,1.9914909240210137
$30,1 hrs,32 0z,Fair,Slosh Resistant,1.0,2.8,2.2,0.5,6.5,23.5,0.0407000981719286,0.9564523070403221,1.2210029451578581
$30,1 hrs,32 0z,Fair,Spill Resistant,1.0,2.8,2.2,0.8,6.8,23.2,0.0660743070304317,1.5329239231060154,1.982229210912951
$30,1 hrs,32 0z,Fair,Leak Resistant,1.0,2.8,2.2,1.0,7.0,23.0,0.12274948537680061,2.823238163666414,3.6824845613040185
$30,1 hrs,32 0z,Easy,Slosh Resistant,1.0,2.8,3.0,0.5,7.3,22.7,0.06754377743750825,1.5332437478314374,2.0263133231252475
$30,1 hrs,32 0z,Easy,Spill Resistant,1.0,2.8,3.0,0.8,7.6,22.4,0.10457575041185647,2.342496809225585,3.137272512355694
$30,1 hrs,32 0z,Easy,Leak Resistant,1.0,2.8,3.0,1.0,7.8,22.2,0.17731989258240857,3.9365016153294703,5.319596777472257
$30,3 hrs,12 oz,Difficult,Slosh Resistant,3.0,1.0,1.0,0.5,5.5,24.5,0.03539207244232454,0.8671057748369513,1.0617621732697362
$30,3 hrs,12 oz,Difficult,Spill Resistant,3.0,1.0,1.0,0.8,5.8,24.2,0.05435542189170529,1.315401209779268,1.6306626567511586
$30,3 hrs,12 oz,Difficult,Leak Resistant,3.0,1.0,1.0,1.0,6.0,24.0,0.09285491903131929,2.228518056751663,2.7856475709395787
$30,3 hrs,12 oz,Fair,Slosh Resistant,3.0,1.0,2.2,0.5,6.7,23.3,0.06727964499637312,1.567615728415494,2.018389349891194
$30,3 hrs,12 oz,Fair,Spill Resistant,3.0,1.0,2.2,0.8,7.0,23.0,0.10407293822860521,2.3936775792579197,3.1221881468581563
$30,3 hrs,12 oz,Fair,Leak Resistant,3.0,1.0,2.2,1.0,7.2,22.8,0.17221239068537852,3.9264425076266303,5.166371720561356
$30,3 hrs,12 oz,Easy,Slosh Resistant,3.0,1.0,3.0,0.5,7.5,22.5,0.10119580591868754,2.2769056331704696,3.0358741775606264
$30,3 hrs,12 oz,Easy,Spill Resistant,3.0,1.0,3.0,0.8,7.8,22.2,0.15204446937393484,3.3753872201013535,4.561334081218045
$30,3 hrs,12 oz,Easy,Leak Resistant,3.0,1.0,3.0,1.0,8.0,22.0,0.23737755415832568,5.222306191483165,7.12132662474977
$30,3 hrs,20 oz,Difficult,Slosh Resistant,3.0,2.6,1.0,0.5,7.1,22.9,0.03605882128647213,0.8257470074602117,1.081764638594164
$30,3 hrs,20 oz,Difficult,Spill Resistant,3.0,2.6,1.0,0.8,7.3999999999999995,22.6,0.0601107347192366,1.3585026046547473,1.803322041577098
$30,3 hrs,20 oz,Difficult,Leak Resistant,3.0,2.6,1.0,1.0,7.6,22.4,0.11072635303091236,2.4802703078924364,3.3217905909273706
$30,3 hrs,20 oz,Fair,Slosh Resistant,3.0,2.6,2.2,0.5,8.3,21.7,0.0749762012944973,1.6269835680905913,2.249286038834919
$30,3 hrs,20 oz,Fair,Spill Resistant,3.0,2.6,2.2,0.8,8.6,21.4,0.12072458574641642,2.5835061349733115,3.621737572392493
$30,3 hrs,20 oz,Fair,Leak Resistant,3.0,2.6,2.2,1.0,8.8,21.2,0.20567443845023625,4.3602980951450085,6.170233153507088
$30,3 hrs,20 oz,Easy,Slosh Resistant,3.0,2.6,3.0,0.5,9.1,20.9,0.1157279363849425,2.418713870445298,3.4718380915482747
$30,3 hrs,20 oz,Easy,Spill Resistant,3.0,2.6,3.0,0.8,9.4,20.6,0.17808435056739358,3.668537621688308,5.342530517021808
$30,3 hrs,20 oz,Easy,Leak Resistant,3.0,2.6,3.0,1.0,9.6,20.4,0.2826898806588121,5.7668735654397665,8.480696419764364
$30,3 hrs,32 0z,Difficult,Slosh Resistant,3.0,2.8,1.0,0.5,7.3,22.7,0.031636278895529744,0.7181435309285252,0.9490883668658924
$30,3 hrs,32 0z,Difficult,Spill Resistant,3.0,2.8,1.0,0.8,7.6,22.4,0.05105020702091671,1.1435246372685344,1.5315062106275015
$30,3 hrs,32 0z,Difficult,Leak Resistant,3.0,2.8,1.0,1.0,7.8,22.2,0.09565062145839563,2.123443796376383,2.869518643751869
$30,3 hrs,32 0z,Fair,Slosh Resistant,3.0,2.8,2.2,0.5,8.5,21.5,0.06261886499824601,1.3463055974622893,1.8785659499473804
$30,3 hrs,32 0z,Fair,Spill Resistant,3.0,2.8,2.2,0.8,8.8,21.2,0.098521232285358,2.0886501244495896,2.95563696856074
$30,3 hrs,32 0z,Fair,Leak Resistant,3.0,2.8,2.2,1.0,9.0,21.0,0.1718066023842962,3.60793865007022,5.154198071528886
$30,3 hrs,32 0z,Easy,Slosh Resistant,3.0,2.8,3.0,0.5,9.3,20.7,0.09792945175540504,2.0271396513368845,2.9378835526621514
$30,3 hrs,32 0z,Easy,Spill Resistant,3.0,2.8,3.0,0.8,9.600000000000001,20.4,0.14807203744351544,3.0206695638477146,4.442161123305463
$30,3 hrs,32 0z,Easy,Leak Resistant,3.0,2.8,3.0,1.0,9.8,20.2,0.23845792820558123,4.8168501497527405,7.153737846167437
$10,0.5 hrs,12 oz,Difficult,Slosh Resistant,0.5,1.0,1.0,0.5,3.0,7.0,0.08355250131851998,0.5848675092296398,0.8355250131851998
$10,0.5 hrs,12 oz,Difficult,Spill Resistant,0.5,1.0,1.0,0.8,3.3,6.7,0.12329341984045591,0.8260659129310547,1.2329341984045592
